date,city,מחוז,age,דסק,pop,נותרים לחיסון,לא מחוסנים ולא מחלימים,מחלימים,מחלימים שהתחסנו,מחוסנים מלא,מחוסנים מלא שדעך חיסונם,מחוסנים ב3 מנות,בתהליך חיסון,מחוסנים מנה 1 ומעלה,אוכלוסיה פוטנציאלית לחיסון מנה 1,% מחוסנים מנה 1 מכלל האוכלוסיה,% מחוסנים מנה 1 מהפוטנציאל,מחוסנים מנה 2 מכלל האוכלוסיה,אוכלוסיה פוטנציאלית לחיסון מנה 2,% מחוסנים מנה 2,% מחוסנים מנה 2 ממתחסני מנה 1,מחוסנים מנה 3 ומעלה,אוכלוסיה פוטנציאלית לחיסון מנה 3,% מחוסנים מנה 3 מהפוטנציאל
25/08/2021,רנן,מחוז דרום,16_18,דסק כללי,33,4,4,0,2,8,19,0,0,29,33,88%,88%,27,29,82%,93%,0,0,0%
25/08/2021,רעים,מחוז דרום,16_18,דסק כללי,21,1,1,0,1,2,17,0,0,20,21,95%,95%,19,20,90%,95%,0,0,0%
25/08/2021,רעננה,מחוז מרכז,16_18,דסק כללי,3411,0,0,117,166,949,2104,10,110,3339,3363,98%,99%,3139,3256,92%,96%,10,0,0%
25/08/2021,רקפת,מחוז צפון,16_18,דסק כללי,60,0,0,3,1,13,45,0,3,62,58,103%,107%,59,60,98%,98%,0,0,0%
25/08/2021,רשפון,מחוז מרכז,16_18,דסק כללי,66,15,15,1,0,14,34,0,2,50,66,76%,76%,48,49,73%,98%,0,0,0%
25/08/2021,רשפים,מחוז צפון,16_18,דסק כללי,39,1,1,1,0,14,22,1,0,37,39,95%,95%,37,37,95%,100%,1,0,0%
25/08/2021,רתמים,מחוז דרום,16_18,דסק כללי,9,0,0,0,1,4,6,0,0,11,9,122%,122%,10,11,111%,91%,0,0,0%
25/08/2021,שאר ישוב,מחוז צפון,16_18,דסק כללי,27,8,8,0,0,3,15,0,1,19,27,70%,70%,19,19,70%,100%,0,0,0%
25/08/2021,שבי דרום,מחוז דרום,16_18,דסק כללי,3,0,0,0,1,2,8,1,2,14,2,467%,700%,11,13,367%,85%,1,0,0%
25/08/2021,שבי ציון,מחוז צפון,16_18,דסק כללי,63,5,5,0,1,15,39,0,3,58,62,92%,94%,54,55,86%,98%,0,0,0%
25/08/2021,שבי שומרון,מחוז מרכז,16_18,דסק כללי,39,0,0,10,6,15,12,0,1,34,39,87%,87%,28,33,72%,85%,0,0,0%
25/08/2021,שבלי - אום אל-גנם,מחוז צפון,16_18,דסק ערבי,408,88,88,15,11,61,203,0,30,305,408,75%,75%,264,282,65%,94%,0,0,0%
